,ObservationDate,Country_Region,Active
546,2020-06-21,India,2373.0
547,2020-06-21,India,60161.0
548,2020-06-21,India,591.0
549,2020-06-21,India,10.0
550,2020-06-21,India,132.0
551,2020-06-21,India,70.0
552,2020-06-21,India,1426.0
553,2020-06-21,India,218.0
554,2020-06-21,India,1275.0
555,2020-06-21,India,2984.0
556,2020-06-21,India,53.0
557,2020-06-21,India,25866.0
558,2020-06-21,India,3861.0
559,2020-06-21,India,461.0
560,2020-06-21,India,7832.0
561,2020-06-21,India,6186.0
562,2020-06-21,India,817.0
563,2020-06-21,India,5093.0
564,2020-06-22,India,11.0
565,2020-06-22,India,4766.0
566,2020-06-22,India,118.0
567,2020-06-22,India,2056.0
568,2020-06-22,India,1989.0
569,2020-06-22,India,83.0
570,2020-06-22,India,778.0
571,2020-06-22,India,64.0
572,2020-06-22,India,23820.0
573,2020-06-22,India,711.0
574,2020-06-22,India,6232.0
575,2020-06-22,India,4940.0
576,2020-06-22,India,282.0
577,2020-06-22,India,2472.0
578,2020-06-22,India,657.0
579,2020-06-22,India,3527.0
580,2020-06-22,India,1540.0
581,2020-06-22,India,710.0
582,2020-06-22,India,2342.0
583,2020-06-22,India,61807.0
584,2020-06-22,India,648.0
585,2020-06-22,India,6.0
586,2020-06-22,India,132.0
587,2020-06-22,India,139.0
588,2020-06-22,India,1425.0
589,2020-06-22,India,226.0
590,2020-06-22,India,1309.0
591,2020-06-22,India,2966.0
592,2020-06-22,India,49.0
593,2020-06-22,India,27181.0
594,2020-06-22,India,4452.0
595,2020-06-22,India,454.0
596,2020-06-22,India,8015.0
597,2020-06-22,India,6152.0
598,2020-06-22,India,853.0
599,2020-06-22,India,5102.0
600,2020-06-23,India,10.0
601,2020-06-23,India,5284.0
602,2020-06-23,India,126.0
603,2020-06-23,India,2060.0
604,2020-06-23,India,1993.0
605,2020-06-23,India,90.0
606,2020-06-23,India,797.0
607,2020-06-23,India,91.0
608,2020-06-23,India,24988.0
609,2020-06-23,India,703.0
610,2020-06-23,India,6148.0
611,2020-06-23,India,4844.0
612,2020-06-23,India,324.0
613,2020-06-23,India,2507.0
614,2020-06-23,India,654.0
615,2020-06-23,India,3567.0
616,2020-06-23,India,1620.0
617,2020-06-23,India,783.0
618,2020-06-23,India,2401.0
619,2020-06-23,India,62848.0
620,2020-06-23,India,663.0
621,2020-06-23,India,8.0
622,2020-06-23,India,133.0
623,2020-06-23,India,189.0
624,2020-06-23,India,1465.0
625,2020-06-23,India,228.0
626,2020-06-23,India,1245.0
627,2020-06-23,India,3049.0
628,2020-06-23,India,50.0
629,2020-06-23,India,28431.0
630,2020-06-23,India,5109.0
631,2020-06-23,India,451.0
632,2020-06-23,India,8141.0
633,2020-06-23,India,6189.0
634,2020-06-23,India,903.0
635,2020-06-23,India,4930.0
636,2020-06-24,India,13.0
637,2020-06-24,India,5428.0
638,2020-06-24,India,120.0
639,2020-06-24,India,2231.0
640,2020-06-24,India,2039.0
641,2020-06-24,India,91.0
642,2020-06-24,India,780.0
643,2020-06-24,India,90.0
644,2020-06-24,India,26588.0
645,2020-06-24,India,660.0
646,2020-06-24,India,6120.0
647,2020-06-24,India,4897.0
648,2020-06-24,India,332.0
649,2020-06-24,India,2516.0
650,2020-06-24,India,626.0
651,2020-06-24,India,3803.0
652,2020-06-24,India,1693.0
653,2020-06-24,India,666.0
654,2020-06-24,India,2441.0
655,2020-06-24,India,62369.0
656,2020-06-24,India,642.0
657,2020-06-24,India,3.0
658,2020-06-24,India,123.0
659,2020-06-24,India,199.0
660,2020-06-24,India,1612.0
661,2020-06-24,India,276.0
662,2020-06-24,India,1415.0
663,2020-06-24,India,3023.0
664,2020-06-24,India,45.0
665,2020-06-24,India,28839.0
666,2020-06-24,India,5858.0
667,2020-06-24,India,361.0
668,2020-06-24,India,8493.0
669,2020-06-24,India,6375.0
670,2020-06-24,India,867.0
671,2020-06-24,India,4880.0
672,2020-06-25,India,16.0
673,2020-06-25,India,5760.0
674,2020-06-25,India,121.0
675,2020-06-25,India,2279.0
676,2020-06-25,India,1975.0
677,2020-06-25,India,88.0
678,2020-06-25,India,685.0
679,2020-06-25,India,123.0
680,2020-06-25,India,26586.0
681,2020-06-25,India,658.0
682,2020-06-25,India,6269.0
683,2020-06-25,India,4885.0
684,2020-06-25,India,353.0
685,2020-06-25,India,2492.0
686,2020-06-25,India,645.0
687,2020-06-25,India,3720.0
688,2020-06-25,India,1761.0
689,2020-06-25,India,582.0
690,2020-06-25,India,2435.0
691,2020-06-25,India,63357.0
692,2020-06-25,India,702.0
693,2020-06-25,India,3.0
694,2020-06-25,India,115.0
695,2020-06-25,India,195.0
696,2020-06-25,India,1654.0
697,2020-06-25,India,306.0
698,2020-06-25,India,1457.0
699,2020-06-25,India,3077.0
700,2020-06-25,India,46.0
701,2020-06-25,India,30067.0
702,2020-06-25,India,6446.0
703,2020-06-25,India,270.0
704,2020-06-25,India,8123.0
705,2020-06-25,India,6463.0
706,2020-06-25,India,897.0
707,2020-06-25,India,4852.0
708,2020-06-26,India,29.0
709,2020-06-26,India,6145.0
710,2020-06-26,India,129.0
711,2020-06-26,India,2339.0
712,2020-06-26,India,1896.0
713,2020-06-26,India,84.0
714,2020-06-26,India,618.0
715,2020-06-26,India,122.0
716,2020-06-26,India,27657.0
717,2020-06-26,India,667.0
718,2020-06-26,India,6294.0
719,2020-06-26,India,4657.0
720,2020-06-26,India,353.0
721,2020-06-26,India,2591.0
722,2020-06-26,India,635.0
723,2020-06-26,India,3909.0
724,2020-06-26,India,1846.0
725,2020-06-26,India,587.0
726,2020-06-26,India,2448.0
727,2020-06-26,India,65844.0
728,2020-06-26,India,682.0
729,2020-06-26,India,4.0
730,2020-06-26,India,115.0
731,2020-06-26,India,209.0
732,2020-06-26,India,1741.0
733,2020-06-26,India,306.0
734,2020-06-26,India,1634.0
735,2020-06-26,India,3218.0
736,2020-06-26,India,47.0
737,2020-06-26,India,32308.0
738,2020-06-26,India,7346.0
739,2020-06-26,India,269.0
740,2020-06-26,India,8023.0
741,2020-06-26,India,6730.0
742,2020-06-26,India,866.0
743,2020-06-26,India,5039.0
744,2020-06-27,India,29.0
745,2020-06-27,India,6648.0
746,2020-06-27,India,122.0
747,2020-06-27,India,2307.0
748,2020-06-27,India,2029.0
749,2020-06-27,India,87.0
750,2020-06-27,India,618.0
751,2020-06-27,India,122.0
752,2020-06-27,India,28329.0
753,2020-06-27,India,706.0
754,2020-06-27,India,6511.0
755,2020-06-27,India,4737.0
756,2020-06-27,India,376.0
757,2020-06-27,India,2648.0
758,2020-06-27,India,603.0
759,2020-06-27,India,4445.0
760,2020-06-27,India,1939.0
761,2020-06-27,India,405.0
762,2020-06-27,India,2444.0
763,2020-06-27,India,67615.0
764,2020-06-27,India,660.0
765,2020-06-27,India,4.0
766,2020-06-27,India,93.0
767,2020-06-27,India,223.0
768,2020-06-27,India,1726.0
769,2020-06-27,India,388.0
770,2020-06-27,India,1608.0
771,2020-06-27,India,3186.0
772,2020-06-27,India,41.0
773,2020-06-27,India,33216.0
774,2020-06-27,India,8265.0
775,2020-06-27,India,262.0
776,2020-06-27,India,7839.0
777,2020-06-27,India,6685.0
778,2020-06-27,India,842.0
779,2020-06-27,India,5293.0
780,2020-06-28,India,31.0
781,2020-06-28,India,7164.0
782,2020-06-28,India,121.0
783,2020-06-28,India,2108.0
784,2020-06-28,India,2034.0
785,2020-06-28,India,87.0
786,2020-06-28,India,558.0
787,2020-06-28,India,118.0
788,2020-06-28,India,27847.0
789,2020-06-28,India,717.0
790,2020-06-28,India,6712.0
791,2020-06-28,India,4689.0
792,2020-06-28,India,378.0
793,2020-06-28,India,2683.0
794,2020-06-28,India,559.0
795,2020-06-28,India,5476.0
796,2020-06-28,India,2015.0
797,2020-06-28,India,376.0
798,2020-06-28,India,2545.0
799,2020-06-28,India,70622.0
800,2020-06-28,India,730.0
801,2020-06-28,India,4.0
802,2020-06-28,India,93.0
803,2020-06-28,India,251.0
804,2020-06-28,India,1850.0
805,2020-06-28,India,388.0
806,2020-06-28,India,1557.0
807,2020-06-28,India,3261.0
808,2020-06-28,India,39.0
809,2020-06-28,India,35659.0
810,2020-06-28,India,9000.0
811,2020-06-28,India,266.0
812,2020-06-28,India,7285.0
813,2020-06-28,India,6679.0
814,2020-06-28,India,767.0
815,2020-06-28,India,5451.0
816,2020-06-29,India,44.0
817,2020-06-29,India,7479.0
818,2020-06-29,India,125.0
819,2020-06-29,India,2408.0
820,2020-06-29,India,2188.0
821,2020-06-29,India,80.0
822,2020-06-29,India,575.0
823,2020-06-29,India,126.0
824,2020-06-29,India,26246.0
825,2020-06-29,India,717.0
826,2020-06-29,India,6871.0
827,2020-06-29,India,4476.0
828,2020-06-29,India,377.0
829,2020-06-29,India,2557.0
830,2020-06-29,India,566.0
831,2020-06-29,India,6386.0
832,2020-06-29,India,2015.0
833,2020-06-29,India,347.0
834,2020-06-29,India,2607.0
835,2020-06-29,India,73313.0
836,2020-06-29,India,733.0
837,2020-06-29,India,4.0
838,2020-06-29,India,93.0
839,2020-06-29,India,266.0
840,2020-06-29,India,1890.0
841,2020-06-29,India,388.0
842,2020-06-29,India,1516.0
843,2020-06-29,India,3637.0
844,2020-06-29,India,38.0
845,2020-06-29,India,37334.0
846,2020-06-29,India,9559.0
847,2020-06-29,India,294.0
848,2020-06-29,India,7004.0
849,2020-06-29,India,6650.0
850,2020-06-29,India,681.0
851,2020-06-29,India,5535.0
852,2020-06-30,India,47.0
853,2020-06-30,India,7897.0
854,2020-06-30,India,128.0
855,2020-06-30,India,2568.0
856,2020-06-30,India,2289.0
857,2020-06-30,India,70.0
858,2020-06-30,India,597.0
859,2020-06-30,India,131.0
860,2020-06-30,India,26270.0
861,2020-06-30,India,716.0
862,2020-06-30,India,7049.0
863,2020-06-30,India,4340.0
864,2020-06-30,India,363.0
865,2020-06-30,India,2674.0
866,2020-06-30,India,591.0
867,2020-06-30,India,7078.0
868,2020-06-30,India,2112.0
869,2020-06-30,India,324.0
870,2020-06-30,India,2626.0
871,2020-06-30,India,75995.0
872,2020-06-30,India,681.0
873,2020-06-30,India,9.0
874,2020-06-30,India,38.0
875,2020-06-30,India,291.0
876,2020-06-30,India,1851.0
877,2020-06-30,India,430.0
878,2020-06-30,India,1557.0
879,2020-06-30,India,3381.0
880,2020-06-30,India,37.0
881,2020-06-30,India,38892.0
882,2020-06-30,India,8785.0
883,2020-06-30,India,301.0
884,2020-06-30,India,6915.0
885,2020-06-30,India,6711.0
886,2020-06-30,India,609.0
887,2020-06-30,India,5761.0
888,2020-07-01,India,50.0
889,2020-07-01,India,8071.0
890,2020-07-01,India,128.0
891,2020-07-01,India,2719.0
892,2020-07-01,India,2233.0
893,2020-07-01,India,73.0
894,2020-07-01,India,623.0
895,2020-07-01,India,129.0
