,ObservationDate,Country_Region,Deaths
932,02-07-2020,India,2864
933,02-07-2020,India,4
934,02-07-2020,India,1886
935,02-07-2020,India,251
936,02-07-2020,India,10
937,02-07-2020,India,115
938,02-07-2020,India,15
939,02-07-2020,India,272
940,02-07-2020,India,25
941,02-07-2020,India,1
942,02-07-2020,India,589
943,02-07-2020,India,8178
944,02-07-2020,India,0
945,02-07-2020,India,1
946,02-07-2020,India,0
947,02-07-2020,India,0
948,02-07-2020,India,27
949,02-07-2020,India,12
950,02-07-2020,India,152
951,02-07-2020,India,430
952,02-07-2020,India,0
953,02-07-2020,India,1321
954,02-07-2020,India,275
955,02-07-2020,India,1
956,02-07-2020,India,0
957,02-07-2020,India,735
958,02-07-2020,India,42
959,02-07-2020,India,699
960,03-07-2020,India,0
961,03-07-2020,India,206
962,03-07-2020,India,1
963,03-07-2020,India,14
964,03-07-2020,India,80
965,03-07-2020,India,6
966,03-07-2020,India,14
967,03-07-2020,India,0
968,03-07-2020,India,2923
969,03-07-2020,India,4
970,03-07-2020,India,1904
971,03-07-2020,India,255
972,03-07-2020,India,10
973,03-07-2020,India,119
974,03-07-2020,India,15
975,03-07-2020,India,293
976,03-07-2020,India,25
977,03-07-2020,India,1
978,03-07-2020,India,593
979,03-07-2020,India,8376
980,03-07-2020,India,0
981,03-07-2020,India,1
982,03-07-2020,India,0
983,03-07-2020,India,0
984,03-07-2020,India,29
985,03-07-2020,India,12
986,03-07-2020,India,157
987,03-07-2020,India,440
988,03-07-2020,India,0
989,03-07-2020,India,1385
990,03-07-2020,India,283
991,03-07-2020,India,1
992,03-07-2020,India,0
993,03-07-2020,India,749
994,03-07-2020,India,42
995,03-07-2020,India,717
996,04-07-2020,India,0
997,04-07-2020,India,218
998,04-07-2020,India,1
999,04-07-2020,India,14
1000,04-07-2020,India,89
1001,04-07-2020,India,6
1002,04-07-2020,India,14
1003,04-07-2020,India,0
1004,04-07-2020,India,3004
1005,04-07-2020,India,6
1006,04-07-2020,India,1925
1007,04-07-2020,India,260
1008,04-07-2020,India,11
1009,04-07-2020,India,127
1010,04-07-2020,India,17
1011,04-07-2020,India,335
1012,04-07-2020,India,25
1013,04-07-2020,India,1
1014,04-07-2020,India,598
1015,04-07-2020,India,8671
1016,04-07-2020,India,0
1017,04-07-2020,India,1
1018,04-07-2020,India,0
1019,04-07-2020,India,0
1020,04-07-2020,India,34
1021,04-07-2020,India,12
1022,04-07-2020,India,162
1023,04-07-2020,India,447
1024,04-07-2020,India,0
1025,04-07-2020,India,1450
1026,04-07-2020,India,288
1027,04-07-2020,India,1
1028,04-07-2020,India,0
1029,04-07-2020,India,773
1030,04-07-2020,India,42
1031,04-07-2020,India,736
1032,05-07-2020,India,0
1033,05-07-2020,India,232
1034,05-07-2020,India,1
1035,05-07-2020,India,14
1036,05-07-2020,India,95
1037,05-07-2020,India,6
1038,05-07-2020,India,14
1039,05-07-2020,India,0
1040,05-07-2020,India,3067
1041,05-07-2020,India,7
1042,05-07-2020,India,1943
1043,05-07-2020,India,265
1044,05-07-2020,India,11
1045,05-07-2020,India,132
1046,05-07-2020,India,19
1047,05-07-2020,India,372
1048,05-07-2020,India,25
1049,05-07-2020,India,1
1050,05-07-2020,India,608
1051,05-07-2020,India,8822
1052,05-07-2020,India,0
1053,05-07-2020,India,1
1054,05-07-2020,India,0
